Funeral Home,Clean FH name for LP,,Landing Page Built,Buttons Completed,Zap,Mailchimp Template,Mailchimp Audience,Mailchimp complete,Mailchimp Audience name,Mailchimp Audience Id,New Landing page name,Form code added,Page Published in Leadpages,Page switched in Wordpress,Notes,,2022 Landing page Address,new lp core url,2023 NEW LP URL,Account Owner,Campaign Name,Campaign ID,NEW campaign ID,URL param,Counselor (Contact + Lead Owner),Contact ID,Lead Owner ID,Account ID,L2P?,Logo link,Logo above header,Header Link,Video Embed code,Email Customizations,LP Customizations,Automation Customizations,CC'd on Emails,Account Website,zapier identifier,Notes
Mclean Funeral Directors- Gastonia,Mclean Funeral Directors,,,,,,,,,,,,,,,,https://preplanafuneral.com/mclean,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=32,Suzanne Lundin,Internet Campaign - McLean,701U00000007qOi,7014O000001qGdd,32,Sarah Levy,0034O00002ZkvtR,0054O000009hmWT,001U000000h905e,yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/McLean%20Logo.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/McLean%20Logo.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/McLean.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,,
McNutt Funeral Home - Conroe,McNutt Funeral Home,,✅,✅,,✅,✅,✅,McNutt- Landing Page,e80e813421,,,,✅,,,http://preplanafuneral.com/mcnuttconroe,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=33,Caryl Jermier,Internet Campaign - McNutt Funeral Homes - Conroe,7014O000001JA39,7014O000001qGeD,33,Sherri Mullins,0034O00002mykVN,0054O000009hXLy,0014O000026PCg5,,https://info.preplanafuneral.com/rs/852-LNK-689/images/MCNUT%20LOGO.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/McNutt.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.mcnuttfuneralhome.com,,
McReynolds Nave & Larson Funeral Home - Clarksville,McReynolds Nave & Larson Funeral Home,,✅,✅,,✅,✅,✅,"McReynolds, Nave & Larson- Landing Page",6bcf925a2f,,,,✅,Tom creech - counselor,,www.preplanafuneral.com/mnl,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=34,Sabrina Simmons,Internet Campaign - Mcreynolds Nave Larson,701U0000000CJUf,7014O000001qGcm,34,Tom Creech,003U000000r9OCC,0054O000008r18A,001U0000006gRvz,,https://info.preplanafuneral.com/rs/852-LNK-689/images/McReynolds%20Nave%20Larson%20Logo.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/MNL.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.navefuneralhomes.com,mcreynolds-nave-larson-fh,
Memorial Park Funeral Home & Cemeteries- Gainsville,Memorial Park Funeral Home & Cemeteries,,✅,✅,,✅,✅,✅,Memorial Park- Landing Page,9ac1f4a86a,,,,✅,,,http://preplanafuneral.com/memorialpark,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=37,Julian Ward,Internet Campaign - Memorial Park Funeral Home,7010B000001m0zq,7014O000001qGdh,37,Danny Faulkner,0030B00002GLxei,0054O000008r18A,001U000001fldUS,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Memorial%20Park%20Logo.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Memorial.Park.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,memorialparkfuneralhomes.com,,
Moore Funeral Service - Hattiesburg,Moore Funeral Service,,✅,✅,,✅,✅,✅,Moore- Landing Page,617af85c8a,,,,✅,No logo on email,,www.preplanafuneral.com/moore,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=38,Beau Jarrell,Internet Campaign - Moore Funeral Service,701U00000007phg,7014O000001qGcn,38,Lashearer Merchant,003U000001T0HbJ,0054O000008r18A,001U000000EiZjP,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Moore%20FH%20Green%20Logo.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Moore.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823838934?h=61c6c6f5c8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Moore Funeral Service Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,custom video,,,http://www.moorefuneralservices.com,moore-funeral-service,
Parrish Funeral Home - Selma,Parrish Funeral Home,,✅,✅,,✅,✅,✅,Parrish- Landing Page,30e36442ad,,,,✅,,,www.preplanafuneral.com/parrish,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=44,Suzanne Lundin,Internet Campaign - Parrish Funeral Home,701U00000007pne,7014O000001qGde,44,Megan P. Southerland,003U000000zlDgD,0054O000008r18A,001U000000gMivt,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Parrish%20Logo.png,https://info.preplanafuneral.com/rs/852-LNK-689/images/Parrish%20Logo.png,https://info.preplanafuneral.com/rs/852-LNK-689/images/Parrish.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823841866?h=bd98f71b6c&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Parrish Funeral Home Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,custom video,,,www.parrishfh.com,parrish-fh-selma,Needs new video
Powers Funeral Home,Powers Funeral Home,,✅,✅,✅,✅,✅,✅,Powers - Landing Page,c939c177fb,,,,,,,https://preplanafuneral.com/powers,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=46,Suzanne Lundin,Internet Campaign- Powers Funeral Home,7010B000001lh9w,7014O000001qGdQ,46,Ben Hood,0034O00002dZ3ZX,0054O000006tZxr,0010B0000208xhZ,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Powers%20Logo%20from%20FB%20%281%29.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Powers.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,,
Radney Funeral Home - Alexander City,Radney Funeral Home,,✅,✅,,✅,✅,✅,Radney- Landing Page,a186f3feba,,,,✅,,,http://preplanafuneral.com/radney,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=48,Benji Cumbie,Internet Campaign - Radney Funeral Home,7010B000001lhos,,48,Kim Anderson,0030B00002F7d2J,0054O000008r18A,0010B0000208xha,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Radney%20-%20full%20color.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Radney.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,https://www.radneyfuneralhome.com,alexander-fh,
Ratterman Funeral Home - Bardstown,Ratterman & Sons Funeral Home,,✅,✅,✅,✅,✅,✅,Ratterman- Landing Page,245e27b794,,,,,,,https://preplanafuneral.com/ratterman,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=49,Caryl Jermier,Internet Campaign- Ratterman Funeral Homes,7014O000001BZz7,7014O000001qGe2,49,Erica Pulce,0034O00002wMiP3,0054O00000ACJaN,001U000000myvlu,Yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/ratterman%20logo.jpeg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Ratterman.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,,
Robinson Funeral Homes - Easley,Robinson Funeral Homes,,✅,✅,,✅,✅,✅,Robinson-Landing Page,d594198c3b,,,,✅,,,http://preplanafuneral.com/robinson,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=51,Suzanne Lundin,Internet Campaign - Robinson Funeral Homes,7010B000001lzlg,7014O000001qGdG,51,Stokes Hunter,0030B00002PseIt,0050B000008ww6B,0010B000020AOgj,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Robinson%20Funeral%20Home%20Logo.JPG,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Robinson.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.robinsonfuneralhomes.com,robinson-fh,
Sellars Funeral Home - Lebanon,Sellars Funeral Home,,✅,✅,,✅,✅,✅,Sellars- Landing Page,283d7b11d1,,✅,✅,✅,,,www.preplanafuneral.com/sellars,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=52,Sabrina Simmons,Internet Campaign - Sellars Funeral Home,701U00000007pnt,7014O000001qGcz,52,Scott Moore,0034O00002uaeRg,0054O000008r18A,001U0000006gRw4,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars%20Banner%20HOME%20-%20White.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.sellarsfuneralservices.com,sellars-fh,
Sharp Funeral Home - Carroll,Sharp Funeral Home,,✅,✅,,✅,✅,✅,Sharp- Landing Page,91efd8f311,,,,✅,,,http://preplanafuneral.com/sharp,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=56,Caryl Jermier,Internet Campaign - Sharp Funeral Home,7014O000000vQIR,7014O000001qGdJ,56,Kyle J Atkinson & K. Sheppard Smith,0034O00002uXOF7,0054O000008r18A,0014O000025pr0E,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sharp%20Transparent%20Logo.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sharp.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.sharpfuneral.com,,
Smith Funeral Service and Crematory,Smith Funeral Service and Crematory,,✅,✅,,✅,✅,✅,Smith- Landing Page,18150d70c8,,,,✅,,,http://preplanafuneral.com/smith,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=58,Suzanne Lundin,Internet Campaign - Smith Funeral Home,7014O000001SpCg,7014O000001qGct,58,Jimmy Sawyer,0034O00002scrSY,0054O0000091V3Z,0010B00001rQplE,,https://info.preplanafuneral.com/rs/852-LNK-689/images/smithFS.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Smith.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,Www.smithfcs.com,,
